1553500112842;0.15203181;0.24121583;10.47164;-2.005893;1.7534252;0.6668556;3.96;32.76;-13.74;0.0;0.0
1553500112861;-0.29867667;-0.30705637;10.292673;-1.9185413;1.8120148;0.700944;4.38;33.66;-13.32;0.0;0.0
1553500112881;-0.7835025;-0.87328506;9.846753;-1.5659387;1.9185413;0.8330368;5.04;34.62;-12.66;0.0;0.0
1553500112901;-1.1875241;-1.436521;9.415796;-1.2218584;1.9718045;0.8426242;5.88;35.64;-11.76;0.0;0.0
1553500112921;-1.7220296;-1.5735891;9.145252;-0.88949585;1.9473034;0.7318367;6.72;36.72;-10.86;0.0;0.0
1553500112942;-2.178125;-1.5107412;9.032125;-0.6498113;1.8216022;0.6135923;7.62;37.86;-9.9;0.0;0.0
1553500112962;-2.5965118;-1.1336545;8.486847;-0.551807;1.6096146;0.60720074;8.7;39.0;-8.88;0.0;0.0
1553500112981;-2.753332;-1.2042835;8.219295;-0.5816344;1.5531555;0.7456851;9.72;40.08;-7.86;0.0;0.0
1553500113001;-2.9520507;-1.388637;8.234857;-0.660464;1.5435683;0.922519;10.8;40.98;-6.72;0.0;0.0
1553500113022;-3.5625722;-1.3563153;7.9996266;-0.73609775;1.438107;1.0290455;12.36;42.12;-5.22;0.0;0.0
1553500113042;-3.4877534;-1.3670892;7.61416;-1.0120013;1.4253238;1.1653993;12.84;42.6;-4.8;0.0;0.0
1553500113062;-3.578733;-1.4431051;7.41185;-1.4924355;1.5201324;1.2708606;13.8;43.44;-4.2;0.0;0.0
1553500113082;-4.167108;-1.7262194;7.176021;-2.005893;1.627724;1.325189;14.82;44.28;-3.54;0.0;0.0
1553500113102;-4.5741224;-2.0931308;6.799533;-2.4351945;1.7747306;1.3997575;16.08;45.06;-2.7;0.0;0.0
1553500113121;-4.9901147;-2.3127987;6.403891;-2.775014;1.8887138;1.4753913;17.22;45.72;-1.68;0.0;0.0
1553500113141;-5.3540335;-2.4079683;5.7843914;-3.1190944;2.0112193;1.4988271;18.36;46.26;-0.36;0.0;0.0
